,Dengue,Dengue_sma7,Acumulado_21,Acumulado,Populacao,Rt,Susceptiveis,Densidade_Dem,Precipitacao_sma7,Temp_med_7sma,Temp_min_7sma,Umidade_7sma,Vento_mps_7sma
3837,0,4.1,136,260515,2633149,0.49,2372634,8429,3.3,26.6,23.5,77.5,2.1
3838,4,3.9,132,260519,2633149,0.59,2372630,8429,3.3,26.4,23.3,77.6,2.0
3839,6,3.4,137,260525,2633149,0.53,2372624,8429,3.1,26.4,23.3,77.3,1.8
3840,0,2.6,129,260525,2633149,0.39,2372624,8429,2.8,26.6,23.2,75.3,2.0
3841,0,2.3,125,260525,2633149,0.36,2372624,8429,2.8,26.8,23.1,72.7,1.9
3842,0,2.0,123,260525,2633613,0.31,2373088,8430,2.4,26.9,23.2,71.3,2.3
3843,3,1.9,115,260528,2633613,0.39,2373085,8430,0.3,27.0,23.4,70.5,2.3
3844,4,2.4,105,260532,2633613,0.59,2373081,8430,0.3,27.1,23.7,71.1,2.5
3845,4,2.4,90,260536,2633613,0.63,2373077,8430,0.3,27.0,23.6,71.1,2.4
3846,5,2.3,85,260541,2633613,0.67,2373072,8430,0.0,27.0,23.4,69.4,2.7
3847,4,2.9,84,260545,2633613,1.11,2373068,8430,0.0,26.8,23.3,69.1,2.5
3855,2,4.0,75,260584,2634077,0.9,2373493,8432,8.4,26.1,22.9,75.9,2.2
3856,3,4.4,76,260587,2634541,1.0,2373954,8433,8.4,26.0,23.0,77.1,2.2
3857,11,4.4,83,260598,2634541,0.79,2373943,8433,8.5,26.1,23.1,77.6,2.3
3858,9,5.1,92,260607,2634541,0.92,2373934,8433,8.5,26.2,22.9,77.7,2.3
3859,10,6.6,98,260617,2634541,1.31,2373924,8433,8.5,26.0,22.8,77.2,2.3
3860,3,5.9,95,260620,2634541,1.08,2373921,8433,8.2,26.1,22.5,74.9,2.6
3861,4,6.0,99,260624,2634541,1.14,2373917,8433,0.6,26.5,22.9,72.7,2.8
3862,2,6.0,101,260626,2634541,1.5,2373915,8433,0.0,26.6,22.8,71.4,2.7
3863,4,6.1,105,260630,2635005,1.39,2374375,8435,0.0,26.6,22.5,70.2,3.1
3864,5,5.3,107,260635,2635005,1.19,2374370,8435,0.0,26.5,22.6,70.1,3.1
3865,6,4.9,109,260641,2635005,0.94,2374364,8435,0.0,26.7,22.9,69.8,3.2
3866,6,4.3,111,260647,2635005,0.65,2374358,8435,0.0,26.8,23.0,70.2,3.5
3867,6,4.7,112,260653,2635005,0.8,2374352,8435,0.0,26.8,23.2,70.3,3.5
3868,6,5.0,114,260659,2635005,0.83,2374346,8435,0.0,26.7,22.9,70.4,3.3
3869,5,5.4,108,260664,2635005,0.9,2374341,8435,0.0,26.7,23.1,71.1,3.5
3870,6,5.7,114,260670,2635469,0.93,2374799,8436,0.0,26.8,23.5,71.7,3.3
3871,5,5.7,108,260675,2635469,1.08,2374794,8436,0.0,26.9,23.7,71.4,3.2
